Series Name,Series Code,Country Name,Country Code,1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,Canada,CAN,7.02,..,..,..,3.59,..,6.69,5.43,1.99,1.44,1.01,1.31,1.6,1.49,2.46,1.51,1.46,1.45,1.54,1.54,1.7,1.46,1.38,1.4,1.45,1.43,1.65,1.56,1.52,1.47,1.51,1.49,2.35,1.37,..
"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,Brazil,BRA,31.92,18.95,16.54,15.71,13.02,13.26,10.97,14.83,14,15.94,12.31,12.69,10.47,10.01,9.53,7.67,7.17,6.7,6.77,6.74,7.59,7.76,7.84,7.76,10.08,7.79,8.27,8.01,8.59,7.95,7.97,8.41,7.76,7.26,..
"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,China,CHN,..,..,..,32.17,30.29,27.93,..,19.76,15.82,15.5,14.46,14.67,14.11,7.72,6.48,5.96,4.87,4.25,5.07,4.47,3.94,4.65,5.99,..,..,4.74,4.52,3.54,3.83,3.39,2.53,2.47,2.31,2.18,..
"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,France,FRA,..,..,..,..,..,..,..,..,..,..,..,2.41,3.37,2.45,2.52,2.24,2.46,2.3,2.24,1.72,1.85,2.13,1.59,1.46,1.49,2.03,2.02,2.09,1.96,1.83,1.84,1.48,1.39,1.33,..
"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,2.41,3.37,2.45,2.52,2.24,2.46,2.3,2.24,1.72,1.85,2.13,1.59,1.46,1.49,2.03,2.02,2.09,1.96,1.83,1.84,1.48,1.39,1.33,..
"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,India,IND,..,56.36,..,27.01,..,..,..,23.72,20.13,..,28.51,23.36,26.51,23.08,21.45,22.96,13.9,8.99,11.99,5.98,6.84,6.1,7.33,6.32,6.34,..,7.32,6.35,5.78,4.88,6.59,6.19,5.87,4.59,..
"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,Israel,ISR,..,..,..,..,3.79,..,..,..,..,..,5.64,3.83,3.66,3.47,3.28,1.22,1.33,2.42,1.37,1.54,3.49,..,2.94,1.35,1.42,1.46,2.83,2.81,1.85,..,..,..,2.88,2.62,..
"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,2.41,3.37,2.45,2.52,2.24,2.46,2.3,2.24,1.72,1.85,2.13,1.59,1.46,1.49,2.03,2.02,2.09,1.96,1.83,1.84,1.48,1.39,1.33,..
"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,Japan,JPN,4.07,3.61,4.04,4.24,4.36,4.3,5.22,5.59,4.33,4.17,4.42,4.49,5.75,5.52,5.23,4,3.58,2.82,2.74,2.49,2.91,2.2,2.37,2.27,1.18,2.29,2.3,2.55,2.51,2.45,3.53,2.22,1.84,1.64,..
"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,Turkiye,TUR,..,..,..,..,6.1,..,6.74,3.19,5.65,3.2,5.34,2.38,1.95,1.84,1.92,2.18,1.5,1.47,2.06,1.97,2.21,2.35,2.65,..,2.78,..,3.19,2.74,3.45,2.5,3.13,2.85,3.22,4.31,..
