Series Name,Series Code,Country Name,Country Code,2024 [YR2024],2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975]
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Algeria,DZA,..,59426117365.1072,69226170650.7752,41845985606.7384,24901914032.5803,38551346600.0539,44387318895.8475,37680842571.7904,32746852186.7272,37905326615.2648,63586929716.4811,68589769661.1321,75187930613.1179,76387318691.2563,60587734433.8983,48109316609.1718,81544414106.109,63329352193.4836,57304000000.0025,48840999999.9978,..,..,..,..,..,..,..,..,..,..,..,..,..,12723141362.6737,13461667632.6471,10029626725.168,8090598107.5613,9593913077.84437,8613839277.8028,13565575400.7717,13390724158.9444,13421525228.3289,14037306082.398,14590777706.2831,14128131966.3131,9952075298.00309,6665574020.1885,6296484604.95363,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Argentina,ARG,..,82946767239.5484,102928288550.402,87575311843.1028,64437247305.5735,79964482529.4226,77143165816.1223,74168075513.7622,71384640574.7552,70022565842.9763,81836807734.7264,89608120129.4452,94330755729.5577,97616690275.3835,81123016360.6088,66335605323.6348,81583621071.7764,66122298496.1757,54528515092.9204,46892210000,39757250000,34336010000,29054500000,31116753076.8311,31236920314.834,27997318724.6817,31255969562.6127,31003771471.3552,28424754642.4929,24956432000,19355700000,16286160000,15366200000,14386000000,14800000000,11766000000,11149000000,8154000000,8449000000,10047000000,9611000000,9290000000,9197000000,10859000000,9897000000,9179000000,7488000000,6602000000,4632000000,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Brazil,BRA,388333147182.9,389191992211.485,380492383400.51,315446407694.57,238204439113.475,258826039949.725,273562694630.265,251257913040.7,217320605383.43,223588701285.285,263469234177.665,279141692254.75,280178111683.93,291839295243.155,231257934468.83,178720569941.558,226199473965.406,182364246892.161,155439331083.522,133176502332.119,107646382586.862,82461504447.1616,68990429608.5369,66661635383.9759,63583901173.1358,54495001559.5396,58238025881.3574,58957558270.8937,52506000000,52641000000,49010000000,43595000000,39881000000,34938000000,35170000000,37507000000,36052000000,28162000000,24164000000,27720000000,28949000000,23622000000,21982000000,25541000000,21869000000,16719000000,13823000000,13130000000,10979000000,9552000000
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Canada,CAN,727453364420.248,724754183676.206,743782464112.91,630486736132.256,489086375745.01,564128218247.912,557656145915.904,518864192859.946,481615868845.151,496137259587.928,573305506396.426,560082523492.079,554961465410.873,546776957186.172,469288008080.745,392141630610.373,535719719575.132,501654730157.097,464880113739.585,430853577575.865,381726288257.125,329143740782.277,303338703136.931,309750150606.078,328227892005.093,283248726032.556,252987319296.9,248956640936.29,233264869695.22,218166364009.087,189386047191.058,168099255258.305,154999312291.735,148572075570.228,148951820956.799,141583921265.209,132393704408.965,112338441235.115,102043959702.136,100628492290.593,99410661593.871,85023053222.2911,79104453385.0434,80973832127.2991,74976113344.9812,63795060994.2989,53411748938.5579,47885616806.8229,44713315849.4768,38092683727.1618
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,China,CHN,..,3511247752096.65,3719319844279.64,3555231478040.17,2738897986700.98,2630999236934.95,2651009602168.9,2429277356205.39,2197922469129.55,2360152452309.1,2462902030661.11,2355594737798.11,2175092012376.37,2008852448487.47,1656411658782.57,1262664161019.72,1497868782939.59,1258056795940.69,991731387760.491,773339005396.985,604774713079.717,445976206260.613,247626456545.448,208572000000,190039384000,149884000000,141364000000,140533000000,171678000000,147239990000,119181000000,86852000000,78817000000,65898000000,57374000000,47823000000,45912000000,39171000000,29583000000,28163000000,26716000000,23186000000,23637000000,..,..,..,..,..,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Chile,CHL,..,104349393283.126,107071409405.365,100448046657.944,79578821292.7964,77254740134.3842,84063817032.2498,78097748667.3479,69369787238.2048,70677628062.0893,85068996884.2789,88156470315.346,89586101095.3999,93837478963.3239,81621393319.5589,63701048236.0488,74765749410.3297,77269676256.1052,66882684767.7475,48740565546.8424,38887746777.2561,26565759836.384,22565348603.4456,22410169061.2974,23293153568.7677,21031264413.6656,20274816280.1911,21762015598.1874,20214723966.8928,19357900000,14444000000,11713400000,12367400000,11068200000,10220800000,9612650000,8144000000,6348000000,5232260000,4496620000,4314000000,4628000000,4642000000,5008000000,5968000000,4620000000,2941000000,2603000000,2413000000,1838000000
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,"Egypt, Arab Rep.",EGY,..,68217500000,76295439000,58339318000,40101707000,53522607000,51619507000,42874700000,33624300000,37569400000,47166300000,44795200000,48601300000,47053000000,48831200000,44609100000,54760900000,44398000000,36680100000,30715800000,26516200000,20060300000,16437900000,16067200000,16864000000,14730200000,12544000000,14905200000,14050000000,13260000000,12114000000,11440000000,11386000000,10947000000,9895000000,7321727272.72728,7177285714.28572,6742000000,5990285714.28571,6859142857.14286,6853857146.93682,6826000009.75143,6818142866.88306,6535714295.05102,6246285723.20898,4211857148.87409,3572149611.1017,3574705162.40454,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Ethiopia,ETH,..,10865482294.6482,10970596565.3927,9495825861.88533,7714600977.48863,7588186488.29751,7624331353.22779,6637865076.96921,5905571808.04243,6007196233.49046,6385691687.43855,6116476023.25386,5994928705.34653,5831538472.39655,4644218341.95427,3429924703.77971,3495286071.70092,2649643536.00468,2198490814.12065,1929483699.80887,1683762662.68493,1258126210.58213,1063969944.99859,975689091.171146,992267370.259464,940975697.674455,951890278.159835,979000164.230385,794653790.739324,767558289.222419,666572407.366643,476080000,437485314.009662,435893719.806763,596618357.487923,732995169.082126,671739130.434783,652077294.68599,721062801.932367,621690821.256039,603285024.296779,541545893.981423,537922705.573876,506473430.196364,544734299.780065,516666666.916264,385652174.099349,417198067.834395,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Denmark,DNK,..,276646446107.074,283369809106.352,239956320947.903,196063006227.504,203575052390.3,202374505034.215,183987101066.998,167781102637.067,168450305181.741,193560123874.549,189330514471.852,179981632404.845,186346762967.458,163089676156.932,152113630886.664,192423433120.153,164945010952.844,143796453242.528,125373902144.213,111354544653.396,96209541077.8981,82139163399.0646,75600732870.9919,73805211462.8574,69768124337.3137,63119408013.7101,62146446792.782,67236623498.1782,65654988733.7157,55401906225.3287,49511372995.5304,54586570137.44,51047083013.0564,48901826458.7216,38298015980.1833,37159771196.413,33543246443.6561,27679391640.2039,22610144015.9947,21139428108.2587,21356620647.8218,21095286591.8712,21988857061.2194,22884696450.6694,20064385351.3344,16591735437.0064,14124014223.8961,12639082803.8733,11875414828.1425
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Greece,GRC,..,107217681314.685,106188732284.757,87521073392.1099,59021509142.4284,81184115053.0156,81867719580.7369,70104581289.0659,60305408060.9234,62624983040.1849,76851552340.2417,72900144725.0831,63214162075.1067,67668758206.9057,59904850644.3436,59068883349.1132,79622875821.4016,67026862160.3218,56055373148.8412,51507049133.1035,48842488917.5407,36872587683.0922,30007204929.8455,30048414363.3249,29406499151.7201,24994277393.0156,..,14863000000,15238000000,15523000000,14551000000,13326000000,14773000000,14133350000,13018000000,10902000000,11109000000,10031000000,7799000000,6957000000,7150000000,7036000000,7633000000,8837000000,8122000000,7427000000,5741000000,4716000000,4066000000,..
