Country Name,Tariff_1990,FDI_1990,TB_1990,Tariff_2015,FDI_2015,TB_2015,Tariff_Diff,FDI_Diff,TB_Diff,Tariff_2020,FDI_2020,GDP_1990,GDP_2015,GDP_GrowthPct_1990_2015
Algeria,,4.35,3355.17,8.27,638.92,-25384.91,,634.57,-28740.08,10.16,-1129.31,62.0485075313357,187.493855609345,202.17
Argentina,,-1836.0,7954.0,7.35,-10883.76,-6600.22,,-9047.76,-14554.22,6.88,-3706.95,141.35263014673097,594.7492854132121,320.76
Brazil,18.95,-324.0,6986.0,8.27,-61604.18,-28224.93,-10.68,-61280.18,-35210.93,8.41,-41737.37,464.989098144854,1802.21220690468,287.58
Canada,,-2351.32,1115.96,1.65,23927.63,-38583.78,,26278.95,-39699.74,1.49,18306.17,596.075591360987,1556.5088162171398,161.13
Chile,,-653.7,1055.29,0.64,-1915.15,-1995.12,,-1261.45,-3050.41,0.43,-5049.11,33.1378247620173,242.450355827827,631.64
China,,-2657.0,10668.0,4.52,-68098.65,357870.76,,-65441.65,347202.76,2.47,-99374.81,360.857912565966,11061.5726185787,2965.35
Denmark,,350.09,7486.78,2.02,5642.34,19627.49,,5292.25,12140.71,1.48,8270.78,138.217740684484,301.75892233763705,118.32
Egypt,,-722.0,-4195.5,7.08,-6743.5,-30369.4,,-6021.5,-26173.9,,-5525.3,42.9789143113504,329.366576819407,666.34
Ethiopia,,,-674.3,12.14,-2626.52,-13853.6,,,-13179.3,,-2395.8,12.4789438951691,64.5893285505953,417.59
France,,21640.17,2151.44,2.02,36130.89,-9464.22,,14490.72,-11615.66,1.48,9367.67,1257.64943982653,2442.4834526425,94.21
Greece,,-1005.0,-6546.0,2.02,313.66,-1220.06,,1318.66,5325.94,1.48,-2655.35,96.5295872742906,194.567373678099,101.56
India,56.36,,-6615.56,7.32,-36495.22,-63249.17,-49.04,,-56633.61,6.19,-53239.7,320.979026420035,2103.58836004494,555.37
Jordan,,-69.13,-1057.58,3.98,-1599.3,-8655.63,,-1530.17,-7598.05,3.98,-733.94,4.16008750783472,38.587017887323896,827.55
"Korea, Rep.",9.54,87.6,-3188.4,5.72,19583.0,105649.2,-3.8199999999999994,19495.4,108837.6,5.48,26067.5,283.365844161092,1466.03893620643,417.37
Malaysia,,-2332.46,899.86,,684.81,22711.69,,3017.27,21811.83,3.6,-762.78,44.0245852396137,301.355266964947,584.52
Mexico,,-2634.0,-3110.0,4.45,-25271.57,-25807.76,,-22637.57,-22697.76,,-26494.38,261.253675692838,1213.2944677168798,364.41
Morocco,,-165.12,-1543.98,3.42,-2596.32,-7927.84,,-2431.2,-6383.86,3.61,-959.42,30.1799547749899,110.413823841592,265.85
Netherlands,,3042.42,11651.84,2.02,32510.96,59691.11,,29468.54,48039.27,1.48,-21060.13,318.79900399370695,775.743675302734,143.33
Niger,,-40.79,-195.66,8.07,-495.34,-1630.15,,-454.55,-1434.49,8.06,-345.66,3.51235650788599,9.68386792644282,175.71
Nigeria,24.83,-587.88,7641.62,8.22,-1628.97,-22899.68,-16.61,-1041.09,-30541.3,12.37,-911.95,54.0357953878086,493.02668280063,812.41
Portugal,,-2446.96,-5592.47,2.02,-2170.81,2950.69,,276.15,8543.16,1.48,-6551.53,78.7138602165659,199.038523119639,152.86
Russia,,,,3.08,15232.1,111245.9,,,,4.07,-3631.81,517.014446227929,1363.48218219771,163.72
Saudi Arabia,,-1861.33,3501.33,4.45,1419.28,-29296.86,,3280.61,-32798.19,4.23,3789.66,117.630173564753,669.4842666666669,469.14
South Africa,10.5,103.7,6143.18,4.38,3993.79,-4456.31,-6.12,3890.09,-10599.49,4.4,-5089.41,126.048140141869,346.70979045856296,175.06
Spain,,-10461.38,-17275.2,2.02,34437.18,36345.29,,44898.56,53620.49,1.48,18603.08,536.17532647731,1206.16477755312,124.96
Sudan,,,-377.8,,-1728.37,-5250.55,,,-4872.75,0.0,-716.94,33.6412222222222,51.7267586767677,53.76
Turkey,,-700.0,-4482.0,3.19,-14167.0,-13068.0,,-13467.0,-8586.0,2.85,-4271.0,150.65550019164402,864.313810469009,473.7
United Arab Emirates,,,,2.99,,,,,,3.28,,50.7014437482975,370.275469560166,630.31
United Kingdom,,-13379.91,-24863.35,2.02,-105510.5,-44424.26,,-92130.59,-19560.91,1.28,-140797.14,1093.16938920455,2927.91114091673,167.84
United States of America,3.92,-11290.0,-80852.0,1.69,-209363.0,-490773.0,-2.23,-198073.0,-409921.0,1.52,145265.0,5963.144,18295.019,206.8
