Country Name,Tariff Rate,FDI,FDI in Billions
Brazil,8.41,-41737369809,-41.73736981
Canada,1.49,18306166114,18.30616611
China,2.47,-99374807720,-99.37480772
France,1.48,9367666366,9.367666366
Germany,1.48,-31910918321,-31.91091832
India,6.19,-53239697391,-53.23969739
Israel,,-16389800000,-16.3898
Italy,1.48,21788625430,21.78862543
Japan,2.22,87533471953,87.53347195
"Korea, Rep.",5.48,26067500000,26.0675
Turkey,2.85,-4430000000,-4.43
United Arab Emirates,3.28,,0
United Kingdom,1.28,-1.41E+11,-140.797
United States of America,1.52,1.45E+11,145.265
